Type,Function,Digit,Time(ns)
randomdigit,doubleconv,1,86.228000
randomdigit,doubleconv,2,95.433000
randomdigit,doubleconv,3,106.244000
randomdigit,doubleconv,4,110.417000
randomdigit,doubleconv,5,115.523000
randomdigit,doubleconv,6,121.489000
randomdigit,doubleconv,7,117.749000
randomdigit,doubleconv,8,124.299000
randomdigit,doubleconv,9,117.958000
randomdigit,doubleconv,10,121.491000
randomdigit,doubleconv,11,132.732000
randomdigit,doubleconv,12,136.973000
randomdigit,doubleconv,13,131.999000
randomdigit,doubleconv,14,132.294000
randomdigit,doubleconv,15,138.627000
randomdigit,doubleconv,16,139.850000
randomdigit,doubleconv,17,146.298000
randomdigit,emyg,1,51.573000
randomdigit,emyg,2,55.405000
randomdigit,emyg,3,61.655000
randomdigit,emyg,4,63.348000
randomdigit,emyg,5,62.883000
randomdigit,emyg,6,64.313000
randomdigit,emyg,7,72.009000
randomdigit,emyg,8,78.801000
randomdigit,emyg,9,82.410000
randomdigit,emyg,10,76.806000
randomdigit,emyg,11,78.349000
randomdigit,emyg,12,79.419000
randomdigit,emyg,13,83.289000
randomdigit,emyg,14,83.178000
randomdigit,emyg,15,83.538000
randomdigit,emyg,16,90.624000
randomdigit,emyg,17,98.789000
randomdigit,erthink,1,36.237000
randomdigit,erthink,2,33.432000
randomdigit,erthink,3,40.198000
randomdigit,erthink,4,36.666000
randomdigit,erthink,5,39.073000
randomdigit,erthink,6,37.726000
randomdigit,erthink,7,41.059000
randomdigit,erthink,8,44.301000
randomdigit,erthink,9,45.250000
randomdigit,erthink,10,42.244000
randomdigit,erthink,11,44.638000
randomdigit,erthink,12,51.162000
randomdigit,erthink,13,47.595000
randomdigit,erthink,14,49.340000
randomdigit,erthink,15,53.488000
randomdigit,erthink,16,52.795000
randomdigit,erthink,17,60.616000
randomdigit,floaxie,1,33.571000
randomdigit,floaxie,2,40.230000
randomdigit,floaxie,3,41.166000
randomdigit,floaxie,4,46.787000
randomdigit,floaxie,5,53.604000
randomdigit,floaxie,6,71.616000
randomdigit,floaxie,7,73.048000
randomdigit,floaxie,8,76.735000
randomdigit,floaxie,9,80.882000
randomdigit,floaxie,10,94.187000
randomdigit,floaxie,11,97.235000
randomdigit,floaxie,12,100.801000
randomdigit,floaxie,13,99.980000
randomdigit,floaxie,14,103.489000
randomdigit,floaxie,15,105.333000
randomdigit,floaxie,16,110.717000
randomdigit,floaxie,17,107.362000
randomdigit,fmt,1,52.198000
randomdigit,fmt,2,54.776000
randomdigit,fmt,3,52.161000
randomdigit,fmt,4,58.836000
randomdigit,fmt,5,56.955000
randomdigit,fmt,6,53.528000
randomdigit,fmt,7,52.509000
randomdigit,fmt,8,57.602000
randomdigit,fmt,9,60.834000
randomdigit,fmt,10,57.477000
randomdigit,fmt,11,58.971000
randomdigit,fmt,12,55.770000
randomdigit,fmt,13,55.874000
randomdigit,fmt,14,56.472000
randomdigit,fmt,15,62.634000
randomdigit,fmt,16,72.528000
randomdigit,fmt,17,74.404000
randomdigit,grisu2,1,114.043000
randomdigit,grisu2,2,122.138000
randomdigit,grisu2,3,120.953000
randomdigit,grisu2,4,123.374000
randomdigit,grisu2,5,122.704000
randomdigit,grisu2,6,125.247000
randomdigit,grisu2,7,130.645000
randomdigit,grisu2,8,135.679000
randomdigit,grisu2,9,138.106000
randomdigit,grisu2,10,142.592000
randomdigit,grisu2,11,145.814000
randomdigit,grisu2,12,148.884000
randomdigit,grisu2,13,152.208000
randomdigit,grisu2,14,156.308000
randomdigit,grisu2,15,162.578000
randomdigit,grisu2,16,163.468000
randomdigit,grisu2,17,172.360000
randomdigit,milo,1,53.854000
randomdigit,milo,2,58.307000
randomdigit,milo,3,63.625000
randomdigit,milo,4,63.469000
randomdigit,milo,5,72.209000
randomdigit,milo,6,74.151000
randomdigit,milo,7,68.672000
randomdigit,milo,8,69.694000
randomdigit,milo,9,78.654000
randomdigit,milo,10,73.236000
randomdigit,milo,11,79.239000
randomdigit,milo,12,82.419000
randomdigit,milo,13,85.337000
randomdigit,milo,14,87.659000
randomdigit,milo,15,94.921000
randomdigit,milo,16,91.800000
randomdigit,milo,17,107.001000
randomdigit,ryu,1,66.145000
randomdigit,ryu,2,67.208000
randomdigit,ryu,3,67.493000
randomdigit,ryu,4,81.498000
randomdigit,ryu,5,62.982000
randomdigit,ryu,6,58.807000
randomdigit,ryu,7,59.268000
randomdigit,ryu,8,55.863000
randomdigit,ryu,9,53.858000
randomdigit,ryu,10,56.399000
randomdigit,ryu,11,52.999000
randomdigit,ryu,12,51.672000
randomdigit,ryu,13,49.009000
randomdigit,ryu,14,46.811000
randomdigit,ryu,15,45.423000
randomdigit,ryu,16,43.960000
randomdigit,ryu,17,43.001000
randomdigit,dragonbox,1,22.945000
randomdigit,dragonbox,2,24.312000
randomdigit,dragonbox,3,24.006000
randomdigit,dragonbox,4,26.025000
randomdigit,dragonbox,5,27.966000
randomdigit,dragonbox,6,28.116000
randomdigit,dragonbox,7,26.440000
randomdigit,dragonbox,8,27.603000
randomdigit,dragonbox,9,28.195000
randomdigit,dragonbox,10,28.940000
randomdigit,dragonbox,11,28.502000
randomdigit,dragonbox,12,29.298000
randomdigit,dragonbox,13,28.658000
randomdigit,dragonbox,14,29.388000
randomdigit,dragonbox,15,28.679000
randomdigit,dragonbox,16,29.925000
randomdigit,dragonbox,17,34.495000
randomdigit,dragonbox_comp,1,30.176000
randomdigit,dragonbox_comp,2,31.896000
randomdigit,dragonbox_comp,3,34.401000
randomdigit,dragonbox_comp,4,32.796000
randomdigit,dragonbox_comp,5,30.836000
randomdigit,dragonbox_comp,6,33.827000
randomdigit,dragonbox_comp,7,34.167000
randomdigit,dragonbox_comp,8,36.188000
randomdigit,dragonbox_comp,9,38.506000
randomdigit,dragonbox_comp,10,39.042000
randomdigit,dragonbox_comp,11,34.974000
randomdigit,dragonbox_comp,12,37.818000
randomdigit,dragonbox_comp,13,36.373000
randomdigit,dragonbox_comp,14,37.244000
randomdigit,dragonbox_comp,15,36.696000
randomdigit,dragonbox_comp,16,38.588000
randomdigit,dragonbox_comp,17,40.965000
randomdigit,fmt_full_cache,1,41.960000
randomdigit,fmt_full_cache,2,46.757000
randomdigit,fmt_full_cache,3,48.205000
randomdigit,fmt_full_cache,4,57.211000
randomdigit,fmt_full_cache,5,48.030000
randomdigit,fmt_full_cache,6,53.682000
randomdigit,fmt_full_cache,7,49.971000
randomdigit,fmt_full_cache,8,51.311000
randomdigit,fmt_full_cache,9,52.827000
randomdigit,fmt_full_cache,10,52.186000
